Category,BodyPart,Type of Muscle,Level,Title,Desc,Type,Equipment,Workout,Sets,Reps per Set,Rating,RatingDesc,Goal
Gym,Arms,Biceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Single-arm seated dumbbell curl,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Lying Cable Curl - Gethin Variation,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.,Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Dumbbell biceps curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated Biceps Hammer Curl,,Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,HM Alternating Reverse Lunge With Biceps Curl,,Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,AM Seated Hammer Curls,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating hammer curl,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Skull crushers,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Alternating biceps curl,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Dumbbell,Triceps dips,3-5,8-13,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Barbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Dumbbell curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Preacher curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Hammer curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Biceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Concentration curls,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Close-grip bench press,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Overhead triceps extensions,3-4,8-12,,,Gain Muscle
Gym,Arms,Triceps,Intermediate,Holman Slow Biceps Curl,,Strength,Dumbbell,Triceps pushdowns,3-4,8-12,,,Gain Muscle
